count,encroached,area_m2,area_feddan,patch_id,mean_carbon_potential,rank,centroid_lat,centroid_lon,relative_carbon_loss_share_pct,size_class
2,1,170.83359076469526,0.040666627967495775,KED-ENCR-0174,0.9474708795401181,106,31.134754348087153,30.131111596876714,0.00024629017309778044,Small (<500 m²)
2,1,170.83317193010228,0.04066652826467681,KED-ENCR-0106,15.546236410859462,107,31.135967073676383,30.123251338146556,0.004041154142054436,Small (<500 m²)
2,1,170.8296214302336,0.040665683074590876,KED-ENCR-0005,24.80046972624134,108,31.139290840227627,30.112651217793957,0.0064466045248732645,Small (<500 m²)
2,1,170.82911989683862,0.040665563685471355,KED-ENCR-0078,16.226023228276667,109,31.13843744075204,30.121769117921865,0.004217760744807151,Small (<500 m²)
2,1,170.8290406600503,0.0406655448232969,KED-ENCR-0089,5.618343291512424,110,31.138437440752025,30.12212844403551,0.0014604204900336402,Small (<500 m²)
2,1,170.8278598340169,0.040665263729790756,KED-ENCR-0011,6.267104571437603,111,31.140234071320286,30.11305545966589,0.0016290468895567693,Small (<500 m²)
2,1,170.82768045846393,0.0406652210297641,KED-ENCR-0004,11.212782910343362,112,31.140413734377105,30.11242663896701,0.00291460430171981,Small (<500 m²)
2,1,170.82754364258548,0.04066518846099116,KED-ENCR-0049,4.537139023785016,113,31.13987474520664,30.117367373029676,0.0011793641623930285,Small (<500 m²)
2,1,170.8270238467452,0.040665064724529486,KED-ENCR-0014,4.744982386706839,114,31.140683228962338,30.113235122722717,0.0012333863081945302,Small (<500 m²)
2,1,170.82696422340248,0.04066505053130036,KED-ENCR-0017,6.103022778237386,115,31.14068322896234,30.113504617307953,0.001586387786622889,Small (<500 m²)
2,1,170.82422295740656,0.04066439797787736,KED-ENCR-0158,6.569822750467042,116,31.140278987040144,30.12918021902174,0.0017076979233965248,Small (<500 m²)
2,1,170.8238992178148,0.04066432091225182,KED-ENCR-0126,16.270586773302362,117,31.14090780773903,30.125586957885265,0.0042292152532865356,Small (<500 m²)
2,1,170.82383046317534,0.04066430454533398,KED-ENCR-0130,56.8710042403852,118,31.140862892019157,30.12626069434247,0.014782479891347166,Small (<500 m²)
2,1,170.81999517705293,0.04066339156239432,KED-ENCR-0114,8.855407457616012,119,31.143333259006155,30.123790327317028,0.0023017343439352576,Small (<500 m²)
2,1,170.8194026002567,0.040663250500557434,KED-ENCR-0137,76.18521654384529,120,31.143243427477746,30.127203925396678,0.01980230971175193,Small (<500 m²)
2,1,170.81243168631843,0.040661591087075274,KED-ENCR-0034,7.5713277083863355,121,31.14863331918637,30.115480910891737,0.001967883856948076,Small (<500 m²)
1,1,85.43139782605442,0.020336790069118347,KED-ENCR-0006,51.18848637283566,122,31.120560966574523,30.11274104931972,0.006654229017188946,Small (<500 m²)
1,1,85.43124865206312,0.02033675455851894,KED-ENCR-0015,48.46062963888094,123,31.120650798102933,30.1133698700186,0.006299611254678684,Small (<500 m²)
1,1,85.43058213995674,0.020336595896514913,KED-ENCR-0010,0.8105035973514567,124,31.121459281858648,30.11292071237654,0.00010536011990194805,Small (<500 m²)
1,1,85.42986024219393,0.02033642405005533,KED-ENCR-0131,3.8080772582669704,125,31.120560966574523,30.12666493622357,0.000495020734626613,Small (<500 m²)
